parcel_id,source_identifier,situs_address,method,url,multiValueQueryString,address,city,state,zip,county,county_fips,use_code,use_group,parcelid,parcelid_display,geometry_type,ring_count,vertex_count,acres,latitude,longitude,parcel_polygon,source_url,source_snapshot_at
173132180360430210,173132180360430210,"3621 SEAROBIN DR SE, ST PETERSBURG FL 33705",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""173132180360430210""]}","3621 SEAROBIN DR SE, ST PETERSBURG FL 33705",ST PETERSBURG,FL,33705,Pinellas,12003,0110,single-family,323117180360430210,32-31-17-18036-043-0210,simple-polygon,1,15,0.2,27.73738335608301,-82.62897200475093,"{""type"":""Polygon"",""coordinates"":[[[-82.62897200475093,27.73738335608301],[-82.62928428553401,27.73738197034197],[-82.62928038335737,27.73713721882651],[-82.62911654512098,27.737137964828825],[-82.629054715311,27.737138245966637],[-82.62904026897691,27.737139540752583],[-82.629026287549,27.73714302270663],[-82.62901318525475,27.737148588874078],[-82.62900135162342,27.73715607414525],[-82.62899113731319,27.73716525583217],[-82.62898284603918,27.73717586092445],[-82.6289767244831,27.737187575159453],[-82.62897295422103,27.73720005027835],[-82.62897164672503,27.737212916682637],[-82.62897200475093,27.73738335608301]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
162718899290001040,162718899290001040,"104 RACHEL DR, TARPON SPRINGS FL 34689",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""162718899290001040""]}","104 RACHEL DR, TARPON SPRINGS FL 34689",TARPON SPRINGS,FL,34689,Pinellas,12003,0260,manufactured-home,182716899290001040,18-27-16-89929-000-1040,complex-polygon,1,50,38.04,28.14126856672301,-82.74420905661253,"{""type"":""Polygon"",""coordinates"":[[[-82.74420905661253,28.14126856672301],[-82.74681309123358,28.14126894113899],[-82.7468128682675,28.14124706823783],[-82.74681138861163,28.141109907606822],[-82.74680990898887,28.140972750582314],[-82.7468084262952,28.140835589962332],[-82.74680729074389,28.140698429252538],[-82.74680589560967,28.140561268149874],[-82.7468047610972,28.14042410833129],[-82.74680340771414,28.140286946995605],[-82.7468020563747,28.14014978564599],[-82.74680070405003,28.14001262790844],[-82.74679935478066,28.13987546924912],[-82.74679812659166,28.139738300903637],[-82.74679665109393,28.139601140219572],[-82.74680107482068,28.13943609422336],[-82.7467995911892,28.139298933577685],[-82.7467981116375,28.139161772907027],[-82.7467966300517,28.139024611342336],[-82.74679515054109,28.13888745427535],[-82.74679367101348,28.138750293596253],[-82.74679221477628,28.138615462682687],[-82.74679072976411,28.138477949204976],[-82.74678922638998,28.138338814282374],[-82.74678774790614,28.138201652684177],[-82.74678626538991,28.138064495616945],[-82.74678478591046,28.137927334920995],[-82.74678340371177,28.137793045004138],[-82.7412866129642,28.137816885807727],[-82.74128732564371,28.13822491261518],[-82.74052142979517,28.138228481030193],[-82.74052226765544,28.138393550889834],[-82.74115922842334,28.138389954295235],[-82.7411646191505,28.138390333911854],[-82.74116985369032,28.138391537326434],[-82.74117477298472,28.138393527500053],[-82.74117922800579,28.138396245682873],[-82.74118308278487,28.13839960778828],[-82.74118622056973,28.13840351157855],[-82.74118854587904,28.138407839360777],[-82.74118998858667,28.138412459769537],[-82.74119050394633,28.138417231376117],[-82.74119265778303,28.13865295710666],[-82.74129719920005,28.138728188221723],[-82.74129639477347,28.139125798202176],[-82.7412953849632,28.1395246229467],[-82.74145765363755,28.139523222652848],[-82.74298638468437,28.139521497074842],[-82.74420269981039,28.13952440835707],[-82.74420905661253,28.14126856672301]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
163029000720000210,163029000720000210,"8220 60TH ST N, PINELLAS PARK FL 33781",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""163029000720000210""]}","8220 60TH ST N, PINELLAS PARK FL 33781",PINELLAS PARK,FL,33781,Pinellas,12003,0260,manufactured-home,293016000720000210,29-30-16-00072-000-0210,simple-polygon,1,6,0.19,27.846749253686244,-82.71656121476248,"{""type"":""Polygon"",""coordinates"":[[[-82.71656121476248,27.846749253686244],[-82.71693503243938,27.846748115146283],[-82.71693179769392,27.846558962377614],[-82.71658955466955,27.846560133659747],[-82.7165595725702,27.846586980594143],[-82.71656121476248,27.846749253686244]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
152713635430000020,152713635430000020,"419 E MORGAN ST, TARPON SPRINGS FL 34689",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""152713635430000020""]}","419 E MORGAN ST, TARPON SPRINGS FL 34689",TARPON SPRINGS,FL,34689,Pinellas,12003,0311,apartments,132715635430000020,13-27-15-63543-000-0020,simple-polygon,1,14,0.22,28.14085509668833,-82.75213905320045,"{""type"":""Polygon"",""coordinates"":[[[-82.75213905320045,28.14085509668833],[-82.75213734089333,28.140457809710902],[-82.75213707163553,28.1403950692092],[-82.75213667004395,28.140394851237456],[-82.75213674542736,28.140382033705027],[-82.75210465200009,28.140367116068482],[-82.75207103971836,28.140355109651086],[-82.7520710353528,28.14035579637086],[-82.75207010756566,28.140514462485456],[-82.75197488014176,28.140585788710883],[-82.75189920342544,28.140586020763504],[-82.75190749022272,28.14085518621926],[-82.75198550890124,28.140855156070067],[-82.75213905320045,28.14085509668833]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
152915385740210010,152915385740210010,"1253 TURNER ST, CLEARWATER FL 33756",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""152915385740210010""]}","1253 TURNER ST, CLEARWATER FL 33756",CLEARWATER,FL,33756,Pinellas,12003,0311,apartments,152915385740210010,15-29-15-38574-021-0010,simple-polygon,1,10,0.31,27.95901111743477,-82.78465716525163,"{""type"":""Polygon"",""coordinates"":[[[-82.78465716525163,27.95901111743477],[-82.78465685656917,27.95924795226434],[-82.78481172809258,27.959249202402034],[-82.78493562470612,27.959250203111996],[-82.7850904962279,27.959251452935824],[-82.78509080594803,27.959014471025505],[-82.78509084220092,27.958987176551645],[-82.78504765129722,27.958986726295652],[-82.78465719948399,27.958984933799933],[-82.78465716525163,27.95901111743477]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
162916916600040370,162916916600040370,"239 S MCMULLEN BOOTH RD, CLEARWATER FL 33759",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""162916916600040370""]}","239 S MCMULLEN BOOTH RD, CLEARWATER FL 33759",CLEARWATER,FL,33759,Pinellas,12003,0430,condo,162916916600040370,16-29-16-91660-004-0370,complex-polygon,1,36,12.43,27.962643391393108,-82.70768149653085,"{""type"":""Polygon"",""coordinates"":[[[-82.70768149653085,27.962643391393108],[-82.7079107250516,27.962644109207158],[-82.70813995153394,27.96264482664975],[-82.70836918107695,27.96264554640182],[-82.70859840958013,27.962646263070134],[-82.7086006909871,27.962096169291744],[-82.70772408950327,27.96209374539461],[-82.70725939353837,27.962092458106675],[-82.70726050932066,27.96181711756821],[-82.70772520372546,27.961818502333912],[-82.70860180216054,27.9618211112586],[-82.70860548801679,27.961272550560142],[-82.70819349542174,27.961272076959865],[-82.7074947445246,27.96127127097224],[-82.70749520052081,27.96122711478275],[-82.706844628792,27.96122442085998],[-82.70638927856504,27.96122253392936],[-82.70512773133673,27.961217299649523],[-82.70508177377737,27.961287491867395],[-82.70573104088982,27.961289537555995],[-82.70572887159643,27.96167459681057],[-82.70483017904955,27.961671761476396],[-82.70476627008287,27.962084129173167],[-82.70476225356404,27.96263576970062],[-82.70510110876427,27.96263683762009],[-82.7053179461287,27.96263752127334],[-82.70553478349382,27.962638205487238],[-82.70575162288044,27.962638888446584],[-82.7059684582315,27.962639732612313],[-82.70618538124334,27.962640148254533],[-82.70640296415954,27.962640768618897],[-82.70676457808081,27.96264125900505],[-82.70699380703711,27.962641885398686],[-82.70722303498266,27.962642513220374],[-82.70745226392651,27.962643138850208],[-82.70768149653085,27.962643391393108]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
163212045450040520,163212045450040520,"6100 12TH ST S, ST PETERSBURG FL 33705",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""163212045450040520""]}","6100 12TH ST S, ST PETERSBURG FL 33705",ST PETERSBURG,FL,33705,Pinellas,12003,0430,condo,123216045450040520,12-32-16-04545-004-0520,simple-polygon,1,19,2.33,27.7122594812742,-82.64971996905732,"{""type"":""Polygon"",""coordinates"":[[[-82.64971996905732,27.7122594812742],[-82.64972952288223,27.713708139929576],[-82.65033625158004,27.713705287276685],[-82.65033666850913,27.712636164019877],[-82.65030780120205,27.71255687620362],[-82.65030530765598,27.712364346273166],[-82.65030407964981,27.712351856146654],[-82.65030066537354,27.712339692139352],[-82.65029514975546,27.712328154360037],[-82.65028766936116,27.71231753004092],[-82.65027840826798,27.71230808182544],[-82.65026759702431,27.712300043261067],[-82.65025550247768,27.712293613432657],[-82.65024242470086,27.71228895156226],[-82.65022868683081,27.712286173447232],[-82.65021462895812,27.712285346976863],[-82.649992111739,27.712287256462986],[-82.6499208491981,27.71225750595777],[-82.64971996905732,27.7122594812742]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
173119818870020620,173119818870020620,"145 2ND AVE S, ST PETERSBURG FL 33701",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""173119818870020620""]}","145 2ND AVE S, ST PETERSBURG FL 33701",ST PETERSBURG,FL,33701,Pinellas,12003,0430,condo,193117818870020620,19-31-17-81887-002-0620,simple-polygon,1,5,2.03,27.770209098098874,-82.63413792202903,"{""type"":""Polygon"",""coordinates"":[[[-82.63413792202903,27.770209098098874],[-82.63537520587009,27.770204438550895],[-82.63537630614908,27.76959569778738],[-82.63413595292293,27.76960311921215],[-82.63413792202903,27.770209098098874]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
143013420170000040,143013420170000040,"10351 REGAL DR, LARGO FL 33774",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""143013420170000040""]}","10351 REGAL DR, LARGO FL 33774",LARGO,FL,33774,Pinellas,12003,0430,condo,133014420170000040,13-30-14-42017-000-0040,simple-polygon,1,8,1.35,27.867412863667134,-82.84464292677382,"{""type"":""Polygon"",""coordinates"":[[[-82.84464292677382,27.867412863667134],[-82.84470617433666,27.867413078205175],[-82.84535475478536,27.86741527758687],[-82.84535063888548,27.866727664047392],[-82.84535049375512,27.86671393517167],[-82.84470199563718,27.86671173158953],[-82.84463865506883,27.866711517612657],[-82.84464292677382,27.867412863667134]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
163208944780012020,163208944780012020,"6100 BAHIA DEL MAR CIR, ST PETERSBURG FL 33715",GET,https://www.pcpao.gov/property/detail/print,"{""is_print"":[""1""],""s"":[""163208944780012020""]}","6100 BAHIA DEL MAR CIR, ST PETERSBURG FL 33715",ST PETERSBURG,FL,33715,Pinellas,12003,0430,condo,083216944780012020,08-32-16-94478-001-2020,simple-polygon,1,5,0.28,27.706748441161967,-82.71924028890382,"{""type"":""Polygon"",""coordinates"":[[[-82.71924028890382,27.706748441161967],[-82.71981043199345,27.707049456332033],[-82.71989946878354,27.706915805324435],[-82.71932932513617,27.70661478870726],[-82.71924028890382,27.706748441161967]]]}",https://egis.pinellas.gov/gis/rest/services/PublicWebGIS/Parcels/MapServer/1,2026-08-27T14:23:35.275Z
